"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Zay Flowers (BAL)","9","7","143","20.4","39","4","1","2","8","0","0","1","21.1","21.1","96.1%"
"2","Quentin Johnston (LAC)","7","5","79","15.8","33","2","2","0","0","0","0","1","19.9","19.9","62.1%"
"3","Emeka Egbuka (TB)","6","4","67","16.8","30","2","2","1","9","0","0","1","19.6","19.6","97.3%"
"4","Keon Coleman (BUF)","11","8","112","14.0","25","2","1","0","0","0","0","1","17.2","17.2","59.2%"
"5","Deebo Samuel Sr. (WAS)","10","7","77","11.0","21","1","0","1","19","1","0","1","15.6","15.6","92.3%"
"6","Garrett Wilson (NYJ)","9","7","95","13.6","33","2","1","0","0","0","0","1","15.5","15.5","95.8%"
"7","Michael Pittman Jr. (IND)","8","6","80","13.3","27","1","1","0","0","0","0","1","14.0","14.0","87.6%"
"8","Puka Nacua (LAR)","11","10","130","13.0","25","3","0","1","1","0","0","1","13.1","13.1","99.8%"
"9","Marvin Harrison Jr. (ARI)","6","5","71","14.2","45","1","1","0","0","0","0","1","13.1","13.1","95.2%"
"10","Calvin Austin III (PIT)","6","4","70","17.5","30","2","1","0","0","0","0","1","13.0","13.0","10.3%"
"11","Keenan Allen (LAC)","10","7","68","9.7","15","0","1","0","0","0","0","1","12.8","12.8","89.7%"
"12","Courtland Sutton (DEN)","9","6","61","10.2","22","1","1","0","0","0","0","1","12.1","12.1","95.4%"
"13","Tre Tucker (LV)","3","2","54","27.0","28","2","1","0","0","0","0","1","11.4","11.4","43.3%"
"14","Cedric Tillman (CLE)","8","5","52","10.4","25","1","1","0","0","0","0","1","11.2","11.2","13.6%"
"15","CeeDee Lamb (DAL)","13","7","110","15.7","32","2","0","0","0","0","0","1","11.0","11.0","99.8%"
"16","Ricky Pearsall (SF)","7","4","108","27.0","45","3","0","0","0","0","0","1","10.8","10.8","73.6%"
"17","Justin Jefferson (MIN)","7","4","44","11.0","17","0","1","1","4","0","0","1","10.8","10.8","99.8%"
"18","Jayden Reed (GB)","5","3","45","15.0","26","1","1","0","0","0","0","1","10.5","10.5","36.6%"
"19","Jaxon Smith-Njigba (SEA)","13","9","124","13.8","40","3","0","0","0","0","1","1","10.4","10.4","99.5%"
"20","Kayshon Boutte (NE)","8","6","103","17.2","24","2","0","0","0","0","0","1","10.3","10.3","32.6%"
"21","Marquise Brown (KC)","16","10","99","9.9","49","1","0","0","0","0","0","1","9.9","9.9","32.8%"
"22","Rome Odunze (CHI)","9","6","37","6.2","17","0","1","0","0","0","0","1","9.7","9.7","95.0%"
"23","Jakobi Meyers (JAC)","10","8","97","12.1","24","2","0","0","0","0","0","1","9.7","9.7","82.5%"
"24","DeAndre Hopkins (BAL)","2","2","35","17.5","29","1","1","0","0","0","0","1","9.5","9.5","5.5%"
"25","DK Metcalf (PIT)","7","4","83","20.8","31","2","0","0","0","0","0","1","8.3","8.3","97.8%"
"26","Ben Skowronek (PIT)","1","1","22","22.0","22","1","1","0","0","0","0","1","8.2","8.2","0.1%"
