"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jordan Addison (MIN)","8","9","162","20.3","69","2","1","0","0","0","0","1","22.2","22.2","83.2%"
"2","Courtland Sutton (DEN)","8","10","97","12.1","19","0","2","0","0","0","0","1","21.7","21.7","93.4%"
"3","Jaylen Waddle (MIA)","8","9","144","18.0","29","3","1","0","0","0","0","1","20.4","20.4","91.0%"
"4","DJ Moore (CHI)","7","7","106","15.1","37","2","1","1","13","0","0","1","19.9","19.9","94.6%"
"5","A.J. Brown (PHI)","6","7","109","18.2","28","2","1","0","0","0","0","1","16.9","16.9","99.5%"
"6","Terry McLaurin (WAS)","5","6","102","20.4","86","1","1","0","0","0","0","1","16.2","16.2","97.1%"
"7","Nico Collins (HOU)","5","9","92","18.4","56","1","1","0","0","0","0","1","15.2","15.2","99.6%"
"8","Keenan Allen (LAC)","9","15","86","9.6","40","2","1","0","0","0","0","1","14.6","14.6","47.4%"
"9","David Moore (CAR)","6","10","81","13.5","21","1","1","0","0","0","0","1","14.1","14.1","0.8%"
"10","Calvin Austin III (PIT)","3","3","78","26.0","46","2","1","0","0","0","0","1","13.8","13.8","6.8%"
"11","Jaxon Smith-Njigba (SEA)","6","7","77","12.8","46","1","1","0","0","0","0","1","13.7","13.7","98.2%"
"12","Jakobi Meyers (LV)","10","15","121","12.1","25","1","0","0","0","0","0","1","12.1","12.1","84.5%"
"13","Cooper Kupp (SEA)","8","11","60","7.5","27","1","1","0","0","0","0","1","12.0","12.0","84.6%"
"14","Puka Nacua (LAR)","9","13","117","13.0","29","1","0","0","0","0","0","1","11.7","11.7","99.6%"
"15","Nick Westbrook-Ikhine (MIA)","2","5","48","24.0","38","1","1","0","0","0","0","1","10.8","10.8","2.5%"
"16","Rashod Bateman (BAL)","2","3","43","21.5","40","1","1","0","0","0","0","1","10.3","10.3","33.3%"
"17","Michael Pittman Jr. (IND)","6","7","96","16.0","30","3","0","0","0","0","0","1","9.6","9.6","68.4%"
"18","DeAndre Hopkins (BAL)","5","6","35","7.0","12","0","1","0","0","0","0","1","9.5","9.5","14.9%"
"19","Calvin Ridley (TEN)","5","6","93","18.6","63","1","0","0","0","0","0","1","9.3","9.3","89.9%"
"20","Jerry Jeudy (CLE)","6","6","85","14.2","26","1","0","0","0","0","0","1","8.5","8.5","88.6%"
"21","Ladd McConkey (LAC)","6","6","83","13.8","19","0","0","0","0","0","0","1","8.3","8.3","99.2%"
"22","Jalen Tolbert (DAL)","2","4","22","11.0","16","0","1","0","0","0","0","1","8.2","8.2","3.2%"
"23","Tre Tucker (LV)","7","8","82","11.7","28","1","0","0","0","0","0","1","8.2","8.2","2.1%"
"24","Devaughn Vele (NO)","6","9","80","13.3","24","2","0","0","0","0","0","1","8.0","8.0","2.3%"
"25","Demarcus Robinson (SF)","2","3","15","7.5","13","0","1","0","0","0","0","1","7.5","7.5","2.1%"
"26","Malik Heath (GB)","2","2","15","7.5","12","0","1","0","0","0","0","1","7.5","7.5","0.6%"
"27","Tank Dell (HOU)","3","5","72","24.0","39","1","0","0","0","0","0","1","7.2","7.2","3.9%"
"28","Noah Brown (WAS)","6","10","71","11.8","19","0","0","0","0","0","0","1","7.1","7.1","1.8%"
"29","CeeDee Lamb (DAL)","10","12","67","6.7","13","0","0","1","1","0","0","1","6.8","6.8","99.6%"
"30","KaVontae Turpin (DAL)","1","1","8","8.0","8","0","0","0","0","0","0","1","6.8","6.8","2.6%"
"31","Mike Evans (TB)","5","6","68","13.6","26","1","0","0","0","0","0","1","6.8","6.8","98.0%"
"32","Jameson Williams (DET)","5","7","64","12.8","21","1","0","1","4","0","0","1","6.8","6.8","91.6%"
"33","Jalen Nailor (MIN)","1","2","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","4.5%"
"34","Malik Nabers (NYG)","6","9","64","10.7","21","1","0","0","0","0","0","1","6.4","6.4","99.6%"
"35","DeMario Douglas (NE)","5","7","62","12.4","27","2","0","1","1","0","0","1","6.3","6.3","17.0%"
"36","Zay Flowers (BAL)","5","8","62","12.4","25","2","0","0","0","0","0","1","6.2","6.2","94.6%"
"37","Amon-Ra St. Brown (DET)","6","7","62","10.3","15","0","0","0","0","0","0","1","6.2","6.2","99.7%"
"38","DK Metcalf (PIT)","4","5","59","14.8","29","1","0","0","0","0","0","1","5.9","5.9","96.5%"
"39","Adam Thielen (CAR)","3","4","57","19.0","36","1","0","0","0","0","0","1","5.7","5.7","36.0%"
"40","Xavier Legette (CAR)","4","6","56","14.0","34","1","0","0","0","0","0","1","5.6","5.6","25.9%"
"41","Tim Patrick (DET)","4","4","55","13.8","27","1","0","0","0","0","0","1","5.5","5.5","1.2%"
"42","Tyler Boyd (FA)","6","6","55","9.2","19","0","0","0","0","0","0","1","5.5","5.5","0.7%"
"43","Michael Wilson (ARI)","2","4","54","27.0","30","2","0","0","0","0","0","1","5.4","5.4","7.0%"
"44","Romeo Doubs (GB)","3","6","54","18.0","29","1","0","0","0","0","0","1","5.4","5.4","15.4%"
"45","Xavier Worthy (KC)","4","6","46","11.5","19","0","0","1","5","0","0","1","5.1","5.1","95.5%"
"46","George Pickens (DAL)","4","7","48","12.0","31","1","0","0","0","0","0","1","4.8","4.8","92.8%"
"47","Tyreek Hill (MIA)","5","6","48","9.6","20","1","0","0","0","0","0","1","4.8","4.8","98.6%"
"48","Wan'Dale Robinson (NYG)","5","5","47","9.4","16","0","0","1","0","0","0","1","4.7","4.7","19.3%"
"49","Marvin Harrison Jr. (ARI)","3","6","47","15.7","22","1","0","0","0","0","0","1","4.7","4.7","97.5%"
"50","Marvin Mims Jr. (DEN)","3","5","44","14.7","37","1","0","2","-2","0","0","1","4.2","4.2","40.4%"
"51","Jalen Brooks (DAL)","1","3","41","41.0","41","1","0","0","0","0","0","1","4.1","4.1","1.0%"
"52","Jauan Jennings (SF)","5","7","40","8.0","20","1","0","0","0","0","0","1","4.0","4.0","80.0%"
"53","Rome Odunze (CHI)","5","10","39","7.8","14","0","0","0","0","0","0","1","3.9","3.9","87.2%"
"54","Van Jefferson (TEN)","2","2","39","19.5","35","1","0","0","0","0","0","1","3.9","3.9","0.7%"
"55","Alec Pierce (IND)","1","4","39","39.0","39","1","0","0","0","0","0","1","3.9","3.9","8.8%"
"56","Joshua Palmer (BUF)","3","8","38","12.7","17","0","0","0","0","0","0","1","3.8","3.8","17.6%"
"57","Dyami Brown (JAC)","2","2","22","11.0","20","1","0","1","14","0","0","1","3.6","3.6","5.5%"
"58","Troy Franklin (DEN)","2","4","31","15.5","26","1","0","0","0","0","0","1","3.1","3.1","4.1%"
"59","Rakim Jarrett (TB)","1","1","30","30.0","30","1","0","0","0","0","0","1","3.0","3.0","1.9%"
"60","Kendrick Bourne (NE)","3","5","30","10.0","10","0","0","0","0","0","0","1","3.0","3.0","0.7%"
"61","Tutu Atwell (LAR)","3","3","30","10.0","12","0","0","0","0","0","0","1","3.0","3.0","3.2%"
"62","Justin Jefferson (MIN)","2","5","27","13.5","20","1","0","0","0","0","0","1","2.7","2.7","99.7%"
"63","Josh Downs (IND)","3","7","27","9.0","11","0","0","0","0","0","0","1","2.7","2.7","64.8%"
"64","Jayden Reed (GB)","3","3","26","8.7","13","0","0","0","0","0","0","1","2.6","2.6","76.8%"
"65","Dontayvion Wicks (GB)","1","2","25","25.0","25","1","0","0","0","0","0","1","2.5","2.5","5.3%"
"66","Deebo Samuel Sr. (WAS)","1","4","21","21.0","21","1","0","0","0","0","0","1","2.1","2.1","85.1%"
"67","Elijah Moore (BUF)","3","5","21","7.0","9","0","0","0","0","0","0","1","2.1","2.1","2.2%"
"68","Jalen Reagor (LAC)","2","4","20","10.0","11","0","0","0","0","0","0","1","2.0","2.0","0.0%"
"69","Tyler Lockett (TEN)","2","3","20","10.0","17","0","0","0","0","0","0","1","2.0","2.0","9.4%"
"70","Trey Palmer (TB)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","0.6%"
"71","Sterling Shepard (TB)","5","7","16","3.2","7","0","0","0","0","0","0","1","1.6","1.6","1.0%"
"72","Justin Watson (HOU)","1","2","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","1.0%"
"73","Tylan Wallace (BAL)","1","1","15","15.0","15","0","0","0","0","0","0","1","1.5","1.5","0.6%"
"74","Mecole Hardman Jr. (GB)","0","0","0","0","0","0","0","2","15","0","0","1","1.5","1.5","0.6%"
"75","Ryan Miller (TB)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","1.0%"
"76","Deven Thompkins (FA)","3","3","13","4.3","12","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"77","Tyler Johnson (NYJ)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","1.1%"
"78","Jalen McMillan (TB)","1","2","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","19.2%"
"79","Adonai Mitchell (IND)","1","3","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","6.6%"
"80","Jonathan Mingo (DAL)","1","2","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"81","Robert Woods (PIT)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"82","Cedric Tillman (CLE)","2","4","28","14.0","24","1","0","0","0","0","1","1","0.8","0.8","25.4%"
"83","Luke McCaffrey (WAS)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.8%"
"84","Olamide Zaccheaus (CHI)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","1.1%"
"85","Jake Bobo (SEA)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.9%"
"86","Ja'Lynn Polk (NE)","1","2","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","1.4%"
"87","John Metchie III (PHI)","1","3","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","1.0%"
"88","JuJu Smith-Schuster (KC)","1","2","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","1.2%"
"89","Kayshon Boutte (NE)","1","4","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","3.8%"
"90","DJ Turner (FA)","2","4","5","2.5","4","0","0","0","0","0","0","1","0.5","0.5","1.0%"
"91","Greg Dortch (ARI)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.6%"
"92","Bo Melton (GB)","0","1","0","0","0","0","0","1","5","0","0","1","0.5","0.5","0.8%"
"93","Christian Watson (GB)","0","3","0","0","0","0","0","1","4","0","0","1","0.4","0.4","5.5%"
"94","Jahan Dotson (PHI)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","1.9%"
"95","Lil'Jordan Humphrey (NYG)","2","3","4","2.0","2","0","0","0","0","0","0","1","0.4","0.4","0.7%"
"96","Derius Davis (LAC)","2","2","4","2.0","3","0","0","0","0","0","0","1","0.4","0.4","0.6%"
"97","Malik Washington (MIA)","1","2","1","1.0","1","0","0","1","2","0","0","1","0.3","0.3","2.2%"
"98","Garrett Wilson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.7%"
"99","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Emeka Egbuka (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.9%"
"101","Mario Williams (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Kevin Austin Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","AJ Henning (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Brian Thomas Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.5%"
"105","Ronnie Bell (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Cornelius Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"107","Daniel Jackson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Parker Washington (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"109","Simi Fehoko (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"110","Terrace Marshall Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"111","Jacob Harris (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Austin Trammell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
