"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","George Kittle (SF)","7","8","76","10.9","25","1","1","0","0","0","0","1","13.6","13.6","99.4%"
"2","Trey McBride (ARI)","6","6","67","11.2","21","1","0","0","0","0","0","1","12.7","12.7","99.4%"
"3","Hunter Henry (NE)","8","12","109","13.6","35","1","0","0","0","0","0","1","10.9","10.9","45.3%"
"4","Brock Bowers (LV)","9","9","98","10.9","27","2","0","0","0","0","0","1","9.8","9.8","99.6%"
"5","Mike Gesicki (CIN)","7","9","91","13.0","37","1","0","0","0","0","0","1","9.1","9.1","15.2%"
"6","Elijah Higgins (ARI)","1","1","18","18.0","18","0","1","0","0","0","0","1","7.8","7.8","0.6%"
"7","Brenton Strange (JAC)","3","6","65","21.7","30","2","0","0","0","0","0","1","6.5","6.5","22.6%"
"8","Darnell Washington (PIT)","1","1","5","5.0","5","0","1","0","0","0","0","1","6.5","6.5","1.1%"
"9","Zach Ertz (WAS)","4","4","62","15.5","21","2","0","0","0","0","0","1","6.2","6.2","43.6%"
"10","Jonnu Smith (PIT)","6","7","53","8.8","15","0","0","0","0","0","0","1","5.3","5.3","54.3%"
"11","Mark Andrews (BAL)","4","5","51","12.8","16","0","0","0","0","0","0","1","5.1","5.1","94.8%"
"12","Luke Schoonmaker (DAL)","6","6","43","7.2","15","0","0","0","0","0","0","1","4.3","4.3","1.4%"
"13","Pat Freiermuth (PIT)","4","4","39","9.8","14","0","0","0","0","0","0","1","3.9","3.9","18.8%"
"14","Dallas Goedert (PHI)","3","4","38","12.7","16","0","0","0","0","0","0","1","3.8","3.8","77.1%"
"15","Dalton Kincaid (BUF)","4","4","33","8.3","9","0","0","0","0","0","0","1","3.3","3.3","78.3%"
"16","Erick All Jr. (CIN)","4","4","32","8.0","19","0","0","0","0","0","0","1","3.2","3.2","0.6%"
"17","Will Dissly (LAC)","3","3","29","9.7","15","0","0","0","0","0","0","1","2.9","2.9","2.2%"
"18","Drew Sample (CIN)","3","3","28","9.3","12","0","0","0","0","0","0","1","2.8","2.8","0.6%"
"19","Cole Kmet (CHI)","4","5","27","6.8","12","0","0","0","0","0","0","1","2.7","2.7","7.2%"
"20","Eric Saubert (SEA)","2","2","26","13.0","14","0","0","0","0","0","0","1","2.6","2.6","1.8%"
"21","Isaiah Likely (BAL)","2","3","26","13.0","15","0","0","0","0","0","0","1","2.6","2.6","27.6%"
"22","Tommy Tremble (CAR)","3","4","23","7.7","12","0","0","0","0","0","0","1","2.3","2.3","0.6%"
"23","Mo Alie-Cox (IND)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.2","2.2","0.6%"
"24","Dalton Schultz (HOU)","2","3","21","10.5","16","0","0","0","0","0","0","1","2.1","2.1","9.8%"
"25","Kyle Pitts Sr. (ATL)","3","4","20","6.7","11","0","0","0","0","0","0","1","2.0","2.0","68.2%"
"26","Taysom Hill (NO)","1","1","1","1.0","1","0","0","3","18","0","0","1","1.9","1.9","4.7%"
"27","Grant Calcaterra (PHI)","2","2","19","9.5","15","0","0","0","0","0","0","1","1.9","1.9","0.6%"
"28","Cade Stover (HOU)","1","1","18","18.0","18","0","0","0","0","0","0","1","1.8","1.8","1.2%"
"29","Greg Dulcich (NYG)","3","8","16","5.3","9","0","0","0","0","0","0","1","1.6","1.6","5.8%"
"30","Chig Okonkwo (TEN)","3","3","16","5.3","8","0","0","0","0","0","0","1","1.6","1.6","19.0%"
"31","Tucker Kraft (GB)","2","2","16","8.0","17","0","0","0","0","0","0","1","1.6","1.6","83.6%"
"32","Noah Fant (CIN)","1","3","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","4.2%"
"33","Josh Whyle (TEN)","2","2","13","6.5","12","0","0","0","0","0","0","1","1.3","1.3","0.6%"
"34","Sam LaPorta (DET)","2","3","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","98.7%"
"35","Luke Farrell (SF)","2","2","13","6.5","7","0","0","0","0","0","0","1","1.3","1.3","0.6%"
"36","Colby Parkinson (LAR)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","0.6%"
"37","Drew Ogletree (IND)","1","2","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","1.1%"
"38","Johnny Mundt (JAC)","2","3","12","6.0","6","0","0","0","0","0","0","1","1.2","1.2","0.1%"
"39","Michael Mayer (LV)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","3.2%"
"40","Jordan Akins (FA)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","1.0%"
"41","Tyler Conklin (LAC)","1","2","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","3.5%"
"42","Kylen Granson (PHI)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","1.2%"
"43","Durham Smythe (CHI)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.6%"
"44","Ja'Tavion Sanders (CAR)","2","2","8","4.0","6","0","0","0","0","0","0","1","0.8","0.8","6.8%"
"45","Jared Wiley (KC)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.6%"
"46","Travis Kelce (KC)","1","3","5","5.0","5","0","0","1","1","0","0","1","0.6","0.6","97.0%"
"47","Luke Musgrave (GB)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","2.6%"
"48","Hayden Hurst (FA)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.3%"
"49","Austin Hooper (NE)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.5%"
"50","John Bates (WAS)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.6%"
"51","Brevin Jordan (HOU)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","1.0%"
"52","Charlie Kolar (BAL)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.1%"
"53","Gerald Everett (FA)","2","3","1","0.5","2","0","0","0","0","0","0","1","0.1","0.1","1.4%"
"54","Luke Lachey (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"55","Peyton Hendershot (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Thomas Fidone II (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"57","Elijah Arroyo (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.1%"
"58","Dominique Dafney (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"59","Jake Ferguson (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.2%"
"60","Hunter Long (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"61","Kenny Yeboah (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"62","Quintin Morris (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"63","Jalin Conyers (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"64","Jake Briningstool (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Josiah Deguara (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"66","Noah Gray (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.8%"
"67","Mitchell Wilcox (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"69","Adam Trautman (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"70","Harrison Bryant (HOU)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"71","Juwan Johnson (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","6.2%"
"72","Lawrence Cager (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"73","Giovanni Ricci (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"74","Sean McKeon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"75","Tyler Mabry (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
