"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Fields (NYJ)","22","34","64.7","312","9.2","1","0","4","10","55","2","1","1","32.0","32.0","74.9%"
"2","Jordan Love (GB)","32","54","59.3","389","7.2","4","3","1","1","6","0","0","1","31.2","31.2","69.0%"
"3","Baker Mayfield (TB)","30","47","63.8","347","7.4","2","0","2","4","10","1","0","1","28.9","28.9","95.5%"
"4","Jared Goff (DET)","18","18","100.0","292","16.2","2","0","3","2","-2","0","0","1","26.2","26.2","81.5%"
"5","Jayden Daniels (WAS)","26","30","86.7","233","7.8","1","1","0","8","47","1","0","1","25.0","25.0","99.6%"
"6","Lamar Jackson (BAL)","13","18","72.2","156","8.7","2","0","1","6","54","1","1","1","23.6","23.6","99.6%"
"7","C.J. Stroud (HOU)","27","40","67.5","345","8.6","2","0","2","3","17","0","0","1","23.5","23.5","69.5%"
"8","Geno Smith (LV)","38","56","67.9","395","7.1","1","1","3","5","38","0","0","1","22.6","22.6","18.3%"
"9","Sam Darnold (SEA)","20","28","71.4","275","9.8","3","1","2","7","15","0","1","1","21.5","21.5","17.8%"
"10","Joe Burrow (CIN)","22","31","71.0","232","7.5","2","1","0","1","10","0","0","1","17.3","17.3","99.4%"
"11","Dak Prescott (DAL)","22","27","81.5","221","8.2","2","0","1","2","-1","0","0","1","16.7","16.7","81.6%"
"12","Andy Dalton (CAR)","25","40","62.5","220","5.5","2","1","0","3","9","0","0","1","16.7","16.7","0.7%"
"13","Jalen Hurts (PHI)","18","30","60.0","158","5.3","1","0","6","8","20","1","1","1","16.3","16.3","99.4%"
"14","Brock Purdy (SF)","15","27","55.6","288","10.7","1","1","1","5","11","0","0","1","15.6","15.6","88.3%"
"15","Joe Flacco (CLE)","16","26","61.5","168","6.5","2","0","2","2","3","0","0","1","15.0","15.0","6.5%"
"16","Trevor Lawrence (JAC)","18","33","54.5","169","5.1","2","0","1","3","5","0","0","1","14.8","14.8","41.6%"
"17","Patrick Mahomes II (KC)","19","29","65.5","245","8.4","1","1","3","5","12","0","0","1","14.0","14.0","97.6%"
"18","Deshaun Watson (CLE)","24","32","75.0","176","5.5","1","1","3","8","32","0","0","1","13.2","13.2","1.1%"
"19","Tyler Huntley (CLE)","14","22","63.6","96","4.4","0","0","2","8","40","1","1","1","11.8","11.8","1.0%"
"20","Aaron Rodgers (PIT)","24","42","57.1","225","5.4","0","0","5","5","26","0","0","1","11.6","11.6","15.4%"
"21","Caleb Williams (CHI)","17","23","73.9","157","6.8","1","0","3","5","12","0","0","1","11.5","11.5","75.6%"
"22","Justin Herbert (LAC)","16","27","59.3","179","6.6","1","0","2","3","0","0","0","1","11.2","11.2","84.6%"
"23","Daniel Jones (IND)","29","40","72.5","281","7.0","0","1","1","4","3","0","0","1","10.5","10.5","7.7%"
"24","Kyler Murray (ARI)","16","22","72.7","142","6.5","1","0","4","1","3","0","0","1","10.0","10.0","88.8%"
"25","Derek Carr (FA)","28","36","77.8","239","6.6","0","1","1","3","5","0","0","1","9.1","9.1","1.1%"
"26","Kirk Cousins (ATL)","21","35","60.0","238","6.8","0","1","1","0","0","0","0","1","8.5","8.5","4.1%"
"27","Jacoby Brissett (ARI)","19","32","59.4","168","5.3","1","1","6","2","3","0","1","1","8.0","8.0","0.6%"
"28","Josh Allen (BUF)","16","29","55.2","180","6.2","0","0","3","5","21","0","1","1","7.3","7.3","99.7%"
"29","Bo Nix (DEN)","12","25","48.0","60","2.4","1","0","0","5","3","0","0","1","6.7","6.7","93.5%"
"30","Matthew Stafford (LAR)","20","29","69.0","224","7.7","0","1","3","1","-1","0","1","1","5.9","5.9","28.7%"
"31","Anthony Richardson Sr. (IND)","3","4","75.0","71","17.8","0","0","0","3","24","0","0","1","5.2","5.2","16.1%"
"32","Gardner Minshew II (KC)","14","24","58.3","130","5.4","0","0","2","2","-2","0","0","1","5.0","5.0","1.2%"
"33","Mason Rudolph (PIT)","9","17","52.9","85","5.0","0","0","1","0","0","0","0","1","3.4","3.4","1.7%"
"34","Will Levis (TEN)","3","4","75.0","25","6.3","0","1","0","2","5","0","0","1","0.5","0.5","1.2%"
"35","Mitchell Trubisky (BUF)","1","2","50.0","2","1.0","0","0","0","0","0","0","0","1","0.1","0.1","0.6%"
"36","Zach Wilson (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"37","Kenny Pickett (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"38","Davis Mills (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"39","Connor Bazelak (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"40","Jalen Milroe (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.5%"
"41","J.J. McCarthy (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65.7%"
"42","Adrian Martinez (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"43","Sam Howell (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"44","Drake Maye (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.0%"
"45","Kyle McCord (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"46","Spencer Rattler (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"47","Malik Cunningham (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"48","Bryce Young (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.6%"
"49","Max Brosmer (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"50","Tommy Mellott (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"51","DJ Uiagalelei (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"52","Emory Jones (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"53","Michael Penix Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.1%"
"54","Desmond Ridder (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"55","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"56","Trey Lance (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"57","Dorian Thompson-Robinson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"58","Mac Jones (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"59","Kyle Trask (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"60","Sam Ehlinger (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Ben DiNucci (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"62","Sean Clifford (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.8%"
"63","Ben Wooldridge (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Tyler Shough (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.0%"
"65","Will Howard (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.6%"
"66","Shedeur Sanders (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12.6%"
"67","Austin Reed (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
