"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","AJ Barner (SEA)","7","7","53","7.6","11","0","2","0","0","0","0","1","17.3","17.3","15.4%"
"2","Jake Ferguson (DAL)","9","7","49","7.0","26","1","2","0","0","0","0","1","16.9","16.9","88.3%"
"3","Theo Johnson (NYG)","7","6","33","5.5","15","0","2","0","0","0","0","1","15.3","15.3","29.2%"
"4","Sam LaPorta (DET)","6","5","92","18.4","39","2","1","0","0","0","0","1","15.2","15.2","98.0%"
"5","Darren Waller (MIA)","5","5","78","15.6","34","2","1","0","0","0","0","1","13.8","13.8","28.6%"
"6","David Njoku (CLE)","9","6","67","11.2","17","0","1","0","0","0","0","1","12.7","12.7","71.2%"
"7","Travis Kelce (KC)","8","7","61","8.7","14","0","1","0","0","0","0","1","12.1","12.1","97.2%"
"8","Dalton Kincaid (BUF)","6","6","108","18.0","23","3","0","0","0","0","0","1","10.8","10.8","78.2%"
"9","Tyler Warren (IND)","4","4","44","11.0","19","0","1","0","0","0","0","1","10.4","10.4","97.6%"
"10","Jake Tonges (SF)","11","7","41","5.9","11","0","1","0","0","0","0","1","10.1","10.1","2.8%"
"11","Josh Oliver (MIN)","3","2","35","17.5","32","1","1","0","0","0","0","1","9.5","9.5","0.7%"
"12","Evan Engram (DEN)","6","4","33","8.3","18","0","1","0","0","0","0","1","9.3","9.3","67.3%"
"13","Mason Taylor (NYJ)","12","9","67","7.4","11","0","0","0","0","0","0","1","8.7","8.7","19.5%"
"14","Cade Otton (TB)","5","4","81","20.3","27","2","0","0","0","0","0","1","8.1","8.1","29.9%"
"15","Dallas Goedert (PHI)","9","3","19","6.3","11","0","1","0","0","0","0","1","7.9","7.9","87.7%"
"16","Harold Fannin Jr. (CLE)","4","4","13","3.3","5","0","1","0","0","0","0","1","7.3","7.3","51.9%"
"17","Brock Wright (DET)","3","2","9","4.5","6","0","1","0","0","0","0","1","6.9","6.9","0.6%"
"18","Mitchell Evans (CAR)","1","1","4","4.0","4","0","1","0","0","0","0","1","6.4","6.4","0.6%"
"19","Andrew Beck (NYJ)","2","1","1","1.0","1","0","1","0","0","0","0","1","6.1","6.1","0.0%"
"20","Dalton Schultz (HOU)","6","5","60","12.0","21","1","0","0","0","0","0","1","6.0","6.0","25.3%"
"21","Daniel Bellinger (NYG)","4","4","52","13.0","18","0","0","0","0","0","0","1","5.2","5.2","0.6%"
"22","Chig Okonkwo (TEN)","5","4","48","12.0","16","0","0","0","0","0","0","1","4.8","4.8","17.3%"
"23","Hunter Henry (NE)","4","2","46","23.0","24","2","0","0","0","0","0","1","4.6","4.6","61.7%"
