"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","TGT","REC","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jahmyr Gibbs (DET)","17","136","8.0","78","1","2","3","3","82","27.3","0","0","1","33.8","33.8","99.8%"
"2","Christian McCaffrey (SF)","24","129","5.4","15","0","2","8","7","72","10.3","0","0","1","32.1","32.1","99.8%"
"3","Jonathan Taylor (IND)","16","94","5.9","23","2","3","3","3","38","12.7","0","0","1","31.2","31.2","99.6%"
"4","Quinshon Judkins (CLE)","25","84","3.4","46","1","3","0","0","0","0","0","0","1","26.4","26.4","91.9%"
"5","D'Andre Swift (CHI)","19","124","6.5","23","1","1","1","1","14","14.0","0","0","1","19.8","19.8","93.8%"
"6","Josh Jacobs (GB)","13","55","4.2","10","0","2","1","1","3","3.0","0","0","1","17.8","17.8","99.7%"
"7","Javonte Williams (DAL)","19","116","6.1","33","1","1","4","1","2","2.0","0","0","1","17.8","17.8","97.5%"
"8","Zach Charbonnet (SEA)","12","49","4.1","15","0","2","2","2","6","3.0","0","0","1","17.5","17.5","77.6%"
"9","Jaylen Warren (PIT)","16","127","7.9","37","2","0","5","4","31","7.8","0","0","1","15.8","15.8","91.5%"
"10","Cam Skattebo (NYG)","16","60","3.8","18","0","0","6","3","34","11.3","1","0","1","15.4","15.4","46.1%"
"11","Kyle Monangai (CHI)","13","81","6.2","24","1","1","3","2","13","6.5","0","0","1","15.4","15.4","71.5%"
"12","Bijan Robinson (ATL)","14","40","2.9","8","0","0","8","6","52","8.7","1","0","1","15.2","15.2","99.8%"
"13","Rhamondre Stevenson (NE)","18","88","4.9","16","0","1","2","2","0","0.0","0","0","1","14.8","14.8","81.4%"
"14","Jordan Mason (MIN)","15","57","3.8","12","0","1","0","0","0","0","0","0","1","11.7","11.7","78.2%"
"15","Isiah Pacheco (KC)","15","57","3.8","11","0","1","2","1","-3","-3.0","0","0","1","11.4","11.4","81.5%"
"16","Tyrone Tracy Jr. (NYG)","9","46","5.1","31","1","1","0","0","0","0","0","0","1","10.6","10.6","87.9%"
"17","Chase Brown (CIN)","11","108","9.8","37","2","0","4","2","-8","-4.0","0","0","1","10.0","10.0","97.8%"
"18","De'Von Achane (MIA)","13","82","6.3","46","2","0","5","3","16","5.3","0","0","1","9.8","9.8","99.7%"
"19","Rico Dowdle (CAR)","17","79","4.6","13","0","0","2","1","17","17.0","0","0","1","9.6","9.6","67.7%"
"20","Woody Marks (HOU)","10","15","1.5","11","0","0","5","3","20","6.7","1","0","1","9.5","9.5","68.4%"
"21","Brashard Smith (KC)","14","39","2.8","8","0","0","5","5","42","8.4","0","0","1","8.1","8.1","22.3%"
"22","J.K. Dobbins (DEN)","14","81","5.8","32","1","0","1","1","-1","-1.0","0","0","1","8.0","8.0","89.0%"
"23","Chris Rodriguez Jr. (WAS)","3","12","4.0","7","0","1","0","0","0","0","0","0","1","7.2","7.2","3.0%"
"24","Kenneth Walker III (SEA)","17","66","3.9","16","0","0","0","0","0","0","0","0","1","6.6","6.6","95.4%"
"25","Kyren Williams (LAR)","12","54","4.5","10","0","0","3","2","11","5.5","0","0","1","6.5","6.5","99.4%"
"26","Zonovan Knight (ARI)","14","57","4.1","9","0","0","4","3","7","2.3","0","0","1","6.4","6.4","56.3%"
"27","RJ Harvey (DEN)","4","0","0.0","4","0","0","2","1","2","2.0","1","0","1","6.2","6.2","73.3%"
"28","Tony Pollard (TEN)","6","18","3.0","6","0","0","6","6","43","7.2","0","0","1","6.1","6.1","86.6%"
"29","Travis Etienne Jr. (JAC)","8","44","5.5","13","0","0","3","1","11","11.0","0","0","1","5.5","5.5","90.4%"
"30","Chuba Hubbard (CAR)","14","31","2.2","11","0","0","3","2","24","12.0","0","0","1","5.5","5.5","86.6%"
"31","Breece Hall (NYJ)","11","38","3.5","8","0","0","3","2","14","7.0","0","0","1","5.2","5.2","97.4%"
"32","Jeremy McNichols (WAS)","2","22","11.0","19","0","0","3","2","23","11.5","0","0","1","4.5","4.5","3.4%"
"33","Rachaad White (TB)","10","38","3.8","7","0","0","6","4","6","1.5","0","0","1","4.4","4.4","74.9%"
"34","Blake Corum (LAR)","12","37","3.1","6","0","0","1","1","6","6.0","0","0","1","4.3","4.3","9.7%"
"35","Saquon Barkley (PHI)","18","44","2.4","9","0","0","1","1","-2","-2.0","0","0","1","4.2","4.2","99.8%"
"36","Tyjae Spears (TEN)","5","22","4.4","8","0","0","4","3","18","6.0","0","0","1","4.0","4.0","47.8%"
"37","David Montgomery (DET)","13","21","1.6","6","0","0","3","2","18","9.0","0","0","1","3.9","3.9","94.5%"
"38","Brian Robinson Jr. (SF)","9","36","4.0","10","0","0","0","0","0","0","0","0","1","3.6","3.6","44.2%"
"39","Michael Carter (ARI)","7","11","1.6","5","0","0","2","2","25","12.5","0","0","1","3.6","3.6","17.4%"
"40","Kimani Vidal (LAC)","9","20","2.2","5","0","0","5","4","15","3.8","0","0","1","3.5","3.5","88.6%"
"41","Jaydon Blue (DAL)","7","29","4.1","9","0","0","1","1","5","5.0","0","0","1","3.4","3.4","12.1%"
"42","Ashton Jeanty (LV)","6","21","3.5","8","0","0","1","1","13","13.0","0","0","1","3.4","3.4","99.2%"
"43","Jacory Croskey-Merritt (WAS)","13","33","2.5","9","0","0","2","1","-1","-1.0","0","0","1","3.2","3.2","83.8%"
"44","Isaiah Davis (NYJ)","2","10","5.0","5","0","0","4","2","22","11.0","0","0","1","3.2","3.2","18.9%"
"45","Samaje Perine (CIN)","7","31","4.4","9","0","0","0","0","0","0","0","0","1","3.1","3.1","10.6%"
"46","Alvin Kamara (NO)","11","28","2.5","6","0","0","3","3","1","0.3","0","0","1","2.9","2.9","96.2%"
"47","Ameer Abdullah (IND)","2","19","9.5","14","0","0","1","1","8","8.0","0","0","1","2.7","2.7","0.7%"
"48","Bhayshul Tuten (JAC)","5","22","4.4","8","0","0","0","0","0","0","0","0","1","2.2","2.2","25.5%"
"49","Tyler Badie (DEN)","0","0","0","0","0","0","2","2","19","9.5","0","0","1","1.9","1.9","0.7%"
"50","Terrell Jennings (NE)","5","18","3.6","9","0","0","0","0","0","0","0","0","1","1.8","1.8","2.8%"
"51","Kareem Hunt (KC)","4","18","4.5","9","0","0","0","0","0","0","0","0","1","1.8","1.8","49.6%"
"52","Dylan Sampson (CLE)","3","8","2.7","4","0","0","1","1","9","9.0","0","0","1","1.7","1.7","15.7%"
"53","Tyler Allgeier (ATL)","4","16","4.0","7","0","0","0","0","0","0","0","0","1","1.6","1.6","35.0%"
"54","Kenneth Gainwell (PIT)","3","14","4.7","11","0","0","2","2","1","0.5","0","0","1","1.5","1.5","43.1%"
"55","Emanuel Wilson (GB)","6","17","2.8","8","0","0","1","1","-2","-2.0","0","0","1","1.5","1.5","13.6%"
"56","Ollie Gordon II (MIA)","5","11","2.2","8","0","0","2","1","2","2.0","0","0","1","1.3","1.3","14.0%"
"57","Nick Chubb (HOU)","5","16","3.2","5","0","0","3","1","-5","-5.0","0","0","1","1.1","1.1","59.5%"
"58","Roschon Johnson (CHI)","1","11","11.0","11","0","0","0","0","0","0","0","0","1","1.1","1.1","1.9%"
"59","Tank Bigsby (PHI)","1","11","11.0","11","0","0","1","1","-1","-1.0","0","0","1","1.0","1.0","38.2%"
"60","Jerome Ford (CLE)","1","0","0.0","0","0","0","2","2","10","5.0","0","0","1","1.0","1.0","22.8%"
"61","Kyle Juszczyk (SF)","1","-2","-2.0","0","0","0","1","1","10","10.0","0","0","1","0.8","0.8","0.8%"
"62","Kendre Miller (NO)","1","7","7.0","7","0","0","0","0","0","0","0","0","1","0.7","0.7","4.8%"
"63","Will Shipley (PHI)","0","0","0","0","0","0","1","1","7","7.0","0","0","1","0.7","0.7","3.3%"
"64","Sean Tucker (TB)","1","4","4.0","4","0","0","1","1","2","2.0","0","0","1","0.6","0.6","5.4%"
"65","Zavier Scott (MIN)","4","4","1.0","5","0","0","1","1","2","2.0","0","0","1","0.6","0.6","0.9%"
"66","TreVeyon Henderson (NE)","2","5","2.5","3","0","0","0","0","0","0","0","0","1","0.5","0.5","83.6%"
"67","Hassan Haskins (LAC)","1","3","3.0","3","0","0","2","2","2","1.0","0","0","1","0.5","0.5","4.1%"
"68","C.J. Ham (MIN)","0","0","0","0","0","0","1","1","5","5.0","0","0","1","0.5","0.5","0.6%"
"69","Dylan Laube (LV)","2","3","1.5","2","0","0","1","1","1","1.0","0","0","1","0.4","0.4","0.6%"
"70","LeQuint Allen Jr. (JAC)","0","0","0","0","0","0","1","1","4","4.0","0","0","1","0.4","0.4","0.6%"
"71","Hunter Luepke (DAL)","0","0","0","0","0","0","1","1","3","3.0","0","0","1","0.3","0.3","0.6%"
"72","Raheem Mostert (LV)","0","0","0","0","0","0","1","1","2","2.0","0","0","1","0.2","0.2","1.7%"
"73","Devin Singletary (NYG)","2","2","1.0","2","0","0","0","0","0","0","0","0","1","0.2","0.2","12.3%"
"74","Devin Neal (NO)","1","1","1.0","1","0","0","0","0","0","0","0","0","1","0.1","0.1","5.4%"
"75","Keilan Robinson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"76","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"77","Khalil Herbert (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"78","Elijah Mitchell (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"79","JaMycal Hasty (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"80","Antonio Gibson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"81","Patrick Taylor Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"82","Jermar Jefferson (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"83","Jonathan Ward (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"84","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"85","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"86","Craig Reynolds (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
